receptor_id,backbone_id,reference_file,aligned_receptor_pdb,reference_ligand_pdb,config_file,alignment_method,pocket_ca_count,alignment_rmsd_A,ligand_atom_count,center_x,center_y,center_z,box_size,status
buried_4_model_6_sample2_model,buried_4_model_6,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_6.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_6_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_6_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_6_sample2_model.box.txt,pocket_pair_fit,15,0.2073,10,-0.287,-1.131,-1.105,20.0,success
buried_4_model_7_sample10_model,buried_4_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_7_sample10_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_7_sample10_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_7_sample10_model.box.txt,pocket_pair_fit,17,0.521,10,-1.225,-2.228,1.956,20.0,success
buried_4_model_8_sample1_model,buried_4_model_8,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_4_model_8.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_4_model_8_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_4_model_8_sample1_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_4_model_8_sample1_model.box.txt,pocket_pair_fit,11,0.3846,10,6.064,-5.925,0.921,20.0,success
buried_5_model_0_sample7_model,buried_5_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_5_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_5_model_0_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_5_model_0_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_5_model_0_sample7_model.box.txt,pocket_pair_fit,16,2.182,10,2.261,1.375,3.677,20.0,success
buried_5_model_1_sample2_model,buried_5_model_1,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_5_model_1.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_5_model_1_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_5_model_1_sample2_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_5_model_1_sample2_model.box.txt,pocket_pair_fit,13,0.3954,10,0.052,3.029,-4.845,20.0,success
buried_5_model_2_sample6_model,buried_5_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_5_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_5_model_2_sample6_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_5_model_2_sample6_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_5_model_2_sample6_model.box.txt,pocket_pair_fit,14,0.2285,10,4.454,0.84,-1.772,20.0,success
buried_5_model_3_sample4_model,buried_5_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_5_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_5_model_3_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_5_model_3_sample4_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_5_model_3_sample4_model.box.txt,pocket_pair_fit,13,0.3118,10,6.111,-4.521,-3.437,20.0,success
buried_5_model_4_sample4_model,buried_5_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_5_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_5_model_4_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_5_model_4_sample4_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_5_model_4_sample4_model.box.txt,pocket_pair_fit,12,0.4136,10,5.91,-1.388,-2.444,20.0,success
buried_5_model_5_sample5_model,buried_5_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_5_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_5_model_5_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_5_model_5_sample5_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_5_model_5_sample5_model.box.txt,pocket_pair_fit,14,0.2927,10,-0.669,-1.885,-3.976,20.0,success
buried_5_model_7_sample8_model,buried_5_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_5_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_5_model_7_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_5_model_7_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_5_model_7_sample8_model.box.txt,pocket_pair_fit,8,0.3537,10,-5.241,-3.171,12.011,20.0,success
buried_6_model_1_sample4_model,buried_6_model_1,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_6_model_1.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_6_model_1_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_6_model_1_sample4_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_6_model_1_sample4_model.box.txt,pocket_pair_fit,12,0.5388,10,-3.048,-0.166,-5.32,20.0,success
buried_6_model_3_sample9_model,buried_6_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_6_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_6_model_3_sample9_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_6_model_3_sample9_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_6_model_3_sample9_model.box.txt,pocket_pair_fit,11,0.6797,10,-1.651,-2.531,-2.106,20.0,success
buried_6_model_4_sample7_model,buried_6_model_4,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_6_model_4.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_6_model_4_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_6_model_4_sample7_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_6_model_4_sample7_model.box.txt,pocket_pair_fit,11,0.6953,10,9.652,3.06,1.066,20.0,success
buried_6_model_9_sample8_model,buried_6_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_6_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_6_model_9_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_6_model_9_sample8_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_6_model_9_sample8_model.box.txt,pocket_pair_fit,13,0.9666,10,2.356,-1.173,-2.986,20.0,success
buried_7_model_2_sample1_model,buried_7_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\RFD3_cifs\buried_7_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\Aligned_Receptor_PDB\buried_7_model_2_sample1_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\reference_ligands\buried_7_model_2_sample1_model_9IR_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\9IR\box_parameters\configs\buried_7_model_2_sample1_model.box.txt,pocket_pair_fit,12,0.3675,10,2.927,2.943,-9.656,20.0,success
