receptor_id,backbone_id,receptor_file,reference_file,aligned_receptor_pdb,reference_ligand_pdb,config_file,alignment_method,pocket_ca_count,alignment_rmsd_A,ligand_atom_count,ligand_span_x_A,ligand_span_y_A,ligand_span_z_A,center_x,center_y,center_z,box_size_A,status
buried_6_model_3_sample2_model,buried_6_model_3,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_3_sample2_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_3.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_3_sample2_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_6_model_3_sample2_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_6_model_3_sample2_model.box.txt,pocket_pair_fit,20,0.6459,22,6.33,9.373,7.035,-8.316,6.733,4.206,24.0,success
buried_6_model_5_sample3_model,buried_6_model_5,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_5_sample3_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_5.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_5_sample3_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_6_model_5_sample3_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_6_model_5_sample3_model.box.txt,pocket_pair_fit,22,0.2934,22,9.927,5.977,4.817,-1.145,-0.877,-1.343,24.0,success
buried_6_model_7_sample10_model,buried_6_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_7_sample10_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_7_sample10_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_6_model_7_sample10_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_6_model_7_sample10_model.box.txt,pocket_pair_fit,22,0.3979,22,6.385,4.189,8.439,1.107,0.639,-4.284,24.0,success
buried_6_model_8_sample9_model,buried_6_model_8,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_6_model_8_sample9_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_6_model_8.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_6_model_8_sample9_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_6_model_8_sample9_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_6_model_8_sample9_model.box.txt,pocket_pair_fit,15,0.5645,22,7.086,9.875,6.216,-2.507,-5.101,2.435,24.0,success
buried_7_model_0_sample3_model,buried_7_model_0,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_0_sample3_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_0.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_0_sample3_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_7_model_0_sample3_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_7_model_0_sample3_model.box.txt,pocket_pair_fit,22,0.5113,22,6.04,7.405,7.707,2.866,-1.963,-2.855,24.0,success
buried_7_model_2_sample4_model,buried_7_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_2_sample4_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_2_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_7_model_2_sample4_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_7_model_2_sample4_model.box.txt,pocket_pair_fit,23,0.3662,22,8.915,8.633,4.188,-1.619,1.069,-1.33,24.0,success
buried_7_model_7_sample5_model,buried_7_model_7,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_7_sample5_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_7.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_7_sample5_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_7_model_7_sample5_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_7_model_7_sample5_model.box.txt,pocket_pair_fit,24,0.5293,22,4.998,5.852,9.451,0.404,1.598,-3.358,24.0,success
buried_7_model_9_sample4_model,buried_7_model_9,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_7_model_9_sample4_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_7_model_9.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_7_model_9_sample4_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_7_model_9_sample4_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_7_model_9_sample4_model.box.txt,pocket_pair_fit,20,0.6061,22,3.782,10.355,4.892,2.841,7.664,4.907,24.0,success
buried_8_model_1_sample8_model,buried_8_model_1,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_8_model_1_sample8_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_8_model_1.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_8_model_1_sample8_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_8_model_1_sample8_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_8_model_1_sample8_model.box.txt,pocket_pair_fit,19,0.5821,22,5.473,9.194,5.126,2.02,7.008,-8.555,24.0,success
buried_8_model_2_sample7_model,buried_8_model_2,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Receptor_PDBQT\buried_8_model_2_sample7_model.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\RFD3\buried_8_model_2.cif,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\Aligned_Receptor_PDB\buried_8_model_2_sample7_model_aligned.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\reference_ligands\buried_8_model_2_sample7_model_QUE_reference.pdb,C:\Users\Lenovo\Desktop\small_molecule_design\6_AutoDock_Vina\QUE\box_parameters\configs\buried_8_model_2_sample7_model.box.txt,pocket_pair_fit,24,0.452,22,8.876,5.712,6.542,5.316,-6.304,4.664,24.0,success
